526.4458,374.71832,0.97575915
522.44073,374.66602,0.9763106
523.1115,377.00345,0.9767471
523.61224,377.77084,0.9766407
519.35834,375.45145,0.97694314
517.85425,375.48157,0.9769065
516.4552,375.39258,0.9765653
516.6709,373.90247,0.9763148
514.9718,374.73285,0.9753793
515.36096,371.2694,0.976635
515.5124,370.23495,0.9761738
514.0525,368.1135,0.9763323
515.6263,368.40738,0.97671276
518.6672,364.40192,0.9764473
520.09644,362.75253,0.9775718
518.76294,361.26202,0.97812897
518.7031,361.30505,0.97797626
524.4743,361.5856,0.97820866
528.251,360.92642,0.97808826
532.2799,361.0014,0.9774505
539.4076,355.45575,0.97830236
553.422,351.4646,0.978538
575.9353,350.61447,0.9791805
605.4216,353.32965,0.9811504
643.7601,348.3849,0.98368156
685.4819,351.9008,0.97894204
712.15137,332.06134,0.9832766
726.2739,332.0318,0.982947
726.58875,327.35403,0.9813151
715.33496,327.19324,0.9787885
691.8569,321.67322,0.9805414
646.3452,328.10992,0.9844008
603.9534,339.1721,0.98206514
566.58154,340.1164,0.9817582
544.0919,342.2312,0.9808084
524.61786,350.23636,0.97839373
534.6484,341.17087,0.9816498
556.15137,343.31168,0.97904277
596.5265,345.60983,0.98030716
642.6924,339.6951,0.9841323
685.11383,359.58737,0.94831276
728.42444,336.71417,0.9815679
748.3302,324.05646,0.9799359
735.16235,318.90225,0.98308486
718.43066,327.97107,0.98182964
690.18884,332.00903,0.98022467
645.81915,337.06958,0.98441505
609.7943,352.53735,0.9827696
573.475,362.4005,0.97873837
549.86536,366.45776,0.9796124
549.36786,354.99762,0.9796667
560.82153,364.42007,0.9771731
590.15186,365.3704,0.97970337
564.0211,390.47754,0.86468387
647.8087,377.60605,0.89847755
694.16504,335.3731,0.9815337
708.1231,321.79974,0.97724164
700.3871,316.72894,0.9793752
673.7531,317.84247,0.9793524
646.1489,322.22308,0.9835227
607.8147,331.31775,0.9821362
567.6261,336.4705,0.97954786
528.12695,350.22656,0.97510535
514.9147,349.24283,0.9773737
518.17596,347.6282,0.9770827
541.7228,340.57,0.9769747
570.00415,346.06046,0.97932947
616.3083,345.41797,0.9803726
668.53687,338.48724,0.9798482
695.39557,330.0991,0.9817479
704.4237,313.17688,0.97881776
697.30884,310.44077,0.9796276
672.9462,315.63748,0.97939485
639.081,320.11185,0.98258173
595.6654,334.35022,0.981492
556.25806,339.1786,0.9799779
523.1781,354.20764,0.9736825
508.70425,357.76428,0.9749726
517.14435,355.49863,0.9743113
545.61975,345.2288,0.9766738
581.0797,346.0858,0.9754641
603.4574,376.33493,0.92102486
694.5609,362.36105,0.9718544
730.0541,341.8389,0.98243815,1537.8599,379.5801,0.5078592
735.11475,322.62665,0.9819436
734.7228,322.36035,0.98186755
700.7283,320.35812,0.9818284
655.7181,328.59937,0.9791808
618.5144,330.75775,0.98353875
571.76044,340.69028,0.983276
537.53784,348.68878,0.97550076
516.8657,349.3827,0.97713417
517.083,347.91888,0.9752416
539.47284,336.73804,0.97567445
581.4617,337.27798,0.96588546
610.7157,374.75006,0.94198644
647.73157,377.07065,0.91879433
719.02094,330.24548,0.97341925
717.04114,326.58832,0.9815538
713.31836,326.11002,0.98073363
673.8685,319.49655,0.98022604
640.4807,326.63623,0.98190135
604.57874,336.64078,0.9814325
571.67896,338.90054,0.9788094
531.8766,353.37366,0.97332245
518.69666,351.66803,0.9757581
525.5545,345.14014,0.97679615
553.28424,335.10242,0.97849727
593.60706,340.4539,0.9736101
641.8119,348.16846,0.94324034
691.9003,340.6607,0.9717961
729.9343,306.59976,0.9835239
738.83276,292.737,0.98008657
724.97626,296.39886,0.9820576
686.32825,304.06165,0.9807788
653.90643,309.69946,0.98361754
610.8252,328.4321,0.982656
573.0335,338.79736,0.9796602
539.0131,348.7072,0.9782541
525.48883,352.49698,0.9761629
530.5968,350.6813,0.976539
568.67395,344.1009,0.9753847
611.3553,347.07965,0.97783184
629.1557,384.15833,0.8889884
714.3406,371.23087,0.9620566
746.662,328.75974,0.9825633
751.7065,316.07385,0.97750276
734.0792,321.70523,0.9793723
691.684,321.50342,0.9794057
648.30756,315.67303,0.982885
607.8567,330.4403,0.9834531
567.0947,330.88983,0.9788231
541.3176,335.35,0.9784671
526.0906,336.31757,0.9785538
542.00903,329.63342,0.9784399
569.11395,326.18536,0.9769001
616.39795,330.24667,0.97436917
603.59204,365.51083,0.89944506
716.7179,331.02643,0.9797507
731.02136,311.03857,0.9819162
736.1923,303.49783,0.9815362
721.80493,314.86566,0.9817054
688.985,322.72913,0.9779359
654.5419,322.4833,0.9825386
606.0344,340.40912,0.9819595
564.36194,345.5862,0.9772733
528.75134,355.46765,0.9765602
502.5298,360.65012,0.97460586
502.87604,360.48383,0.9744634
516.45,359.3683,0.9750438
547.9802,359.01917,0.9696379
598.0043,369.30963,0.95406914
639.3697,383.80664,0.9453245
687.76495,378.0576,0.9463093
728.2362,341.22894,0.97915864
736.34607,340.12555,0.9804037
724.8977,336.1328,0.9791642
692.5991,341.21808,0.97830665
657.1643,340.69495,0.9806234
611.8338,358.92963,0.98050344
580.6316,364.56473,0.9786597
547.2585,372.56134,0.97872
535.292,370.4322,0.97802997
541.89014,372.49036,0.97586435
568.22437,373.9942,0.9706015
527.03064,416.37497,0.8627319
595.32605,413.61987,0.8798916
672.801,414.16718,0.93276775
722.98755,383.05127,0.95773965
755.3164,337.43375,0.97953767
750.4496,338.43866,0.98137224
714.8468,334.53842,0.9804546
675.11743,342.8191,0.9790878
634.6898,343.7898,0.98309684
593.7228,350.34973,0.981685
564.7645,346.50592,0.98160386
546.6887,344.53058,0.97975326
550.16406,343.08606,0.9797222
574.08356,340.0567,0.9813874
610.1215,344.2481,0.98098516
610.071,371.21893,0.8852136
711.845,350.0075,0.9813797
738.38074,334.87778,0.9838837
752.46387,323.66528,0.9729338
738.8711,332.8437,0.9835471
706.46265,330.59906,0.98169655
658.1787,337.8623,0.977749
632.0308,332.23355,0.9795567
587.8937,344.7318,0.9774689
556.0075,343.29367,0.9802403
538.69165,347.46625,0.9778683
536.8083,344.06458,0.97857165
552.369,342.7825,0.97955483
483.2204,390.7874,0.86450726
628.24976,356.45764,0.9516956
691.4829,354.70505,0.95685685
741.04333,332.96667,0.9810394
780.3942,316.17145,0.97944564
793.72906,323.9674,0.9700098
780.2379,326.54883,0.97730404
739.484,329.07715,0.983411
693.7505,337.79108,0.9784799
651.20685,330.71436,0.98196524
609.9359,356.7627,0.97325855
579.0009,349.82803,0.9761012
564.9736,340.101,0.97977763
581.34644,334.44083,0.97999406
609.7388,335.78992,0.9804864
600.9867,373.08115,0.8455285
672.1294,371.10046,0.9043002
747.8484,336.01236,0.9784854
779.2627,320.41788,0.9773303
777.4962,314.13968,0.9766051
748.8587,316.45038,0.978362
710.5333,321.9103,0.98116493
668.7068,318.03967,0.9816191
623.97656,334.8214,0.9812042
586.71326,341.95776,0.975453
568.16113,338.5837,0.9816156
558.9597,340.7131,0.9814951
569.6351,342.2779,0.9781813
602.6644,344.90454,0.97887015
610.86554,376.07904,0.87541455
660.74927,392.25708,0.8854342
728.0806,372.4096,0.95173496
769.83215,332.05502,0.97276455
772.3617,322.6607,0.97481936
743.7589,330.64798,0.9795267
700.0738,336.70993,0.97863126
657.9214,332.914,0.981644
612.791,348.98663,0.98294145
573.5379,351.55786,0.9787693
560.6762,347.39972,0.9810346
552.2239,346.80032,0.98055077
564.39813,343.86642,0.98065853
594.58246,351.22485,0.9798881
626.13495,367.40863,0.92076373
652.5558,384.6512,0.8887892
716.0298,370.01227,0.9493048
769.45844,333.31476,0.9749121
